;;Consumo;;Inversi—n;;Compras nacionales;;Exportaciones netas;;;;
;A–o;Precio;Cantidad;Precio;Cantidad;Precio;Cantidad;Exportaciones;Importaciones;Total;;
;2016;13;42;8;38;9;21;142;150;-8;;
;2017;10;55;10;31;6;31;151;148;3;;
;2018;14;43;12;24;8;25;153;152;1;;
;2019;15;39;13;24;7;29;147;152;-5;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;2016;2017;2018;2019;;Habitantes del pa’s;;;;
;Consumo;;546;550;602;585;;A–o;No. De habitantes;;;
;Inversi—n;;304;310;288;312;;2016;18;;;
;Compras nacionales;;189;186;200;203;;2017;19;;;
;Exportaciones netas;;-8;3;1;-5;;2018;20;;;
;Exportaciones;;142;151;153;147;;2019;20,5;;;
;Importaciones;;150;148;152;152;;;;;;
;PIB Nominal;;1031;1049;1091;1095;;;;;;
;PIB Percapital;;57,27777778;55,21052632;54,55;53,41463415;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;A–o ;Exportaciones;;;Importaciones;;;Exportaciones netas a a–o  base 2016;;;;
;;Precio;Cantidad ;Total;Precio;Cantidad;Total;;;;;
;2016;17,75;8;142;15;10;150;-8;;;;
;2017;18,875;8;142;18,5;8;120;22;;;;
;2018;17;9;159,75;9,5;16;240;-80,25;;;;
;2019;24,5;6;106,5;9,5;16;240;-133,5;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;A–o base - 2016;2017;2018;2019;Total;;Deflacci—n;;;;;
;mulplos consumo ;715;559;507;1781;;A–o;PIB nominal;Deflactor base;Deflactor real;Def. Porcentaje;Porcentajes
;;;;;;;2016;1031;100;98,28408008;1,715919924;1,71%
;mulplos consumo;248;192;192;632;;2017;1049;100;101,7458778;-1,745877789;-1,74%
;;;;;;;2018;1091;100;99,6347032;0,365296804;0,36%
;mulplos nacionales;279;225;261;765;;2019;1095;100;100,3666361;-0,366636114;-0,36%
;;;;;;;;;;;;
